task,model_type,model_name,noise_type,evaluation_scope,subword_inflation_bin,num_samples,num_errors,accuracy,mean_subword_delta,mean_changed_token_ratio,error_rate
sentiment,baseline,majority_class,domain_abbreviation,changed_only,<0.95,159,129,0.18867924528301888,-1.10062893081761,0.24537329090978907,0.8113207547169812
sentiment,baseline,majority_class,domain_abbreviation,changed_only,0.95-1.00,1371,688,0.49817651349380015,-0.06856309263311451,0.17990070966663912,0.5018234865061999
sentiment,baseline,majority_class,domain_abbreviation,full,<0.95,159,129,0.18867924528301888,-1.10062893081761,0.24537329090978907,0.8113207547169812
sentiment,baseline,majority_class,domain_abbreviation,full,0.95-1.00,3007,1447,0.5187894911872298,-0.03126039241769205,0.08202323676520194,0.48121050881277017
sentiment,baseline,majority_class,elongation,changed_only,0.95-1.00,3,2,0.3333333333333333,0.0,0.0681964573268921,0.6666666666666667
sentiment,baseline,majority_class,elongation,changed_only,1.00-1.05,173,141,0.18497109826589594,1.4971098265895955,0.030249054721375367,0.815028901734104
sentiment,baseline,majority_class,elongation,changed_only,1.05-1.15,1164,665,0.42869415807560135,1.8565292096219932,0.062047424151203706,0.5713058419243986
sentiment,baseline,majority_class,elongation,changed_only,1.15-1.30,1150,502,0.5634782608695652,2.210434782608696,0.10616817465225728,0.4365217391304348
sentiment,baseline,majority_class,elongation,changed_only,>1.30,674,265,0.6068249258160238,2.6409495548961424,0.18211397076382235,0.39317507418397624
sentiment,baseline,majority_class,elongation,full,0.95-1.00,5,3,0.4,0.0,0.04091787439613526,0.6
sentiment,baseline,majority_class,elongation,full,1.00-1.05,173,141,0.18497109826589594,1.4971098265895955,0.030249054721375367,0.815028901734104
sentiment,baseline,majority_class,elongation,full,1.05-1.15,1164,665,0.42869415807560135,1.8565292096219932,0.062047424151203706,0.5713058419243986
sentiment,baseline,majority_class,elongation,full,1.15-1.30,1150,502,0.5634782608695652,2.210434782608696,0.10616817465225728,0.4365217391304348
sentiment,baseline,majority_class,elongation,full,>1.30,674,265,0.6068249258160238,2.6409495548961424,0.18211397076382235,0.39317507418397624
sentiment,baseline,majority_class,mixed_noise,changed_only,<0.95,27,24,0.1111111111111111,-1.0,0.30673043050924026,0.8888888888888888
sentiment,baseline,majority_class,mixed_noise,changed_only,0.95-1.00,717,356,0.5034867503486751,-0.016736401673640166,0.21000431560675348,0.49651324965132493
sentiment,baseline,majority_class,mixed_noise,changed_only,1.00-1.05,245,185,0.24489795918367346,1.1183673469387756,0.1092325191071299,0.7551020408163265
sentiment,baseline,majority_class,mixed_noise,changed_only,1.05-1.15,1073,539,0.4976700838769804,1.505125815470643,0.18824386563483422,0.5023299161230196
sentiment,baseline,majority_class,mixed_noise,changed_only,1.15-1.30,705,304,0.5687943262411348,2.1333333333333333,0.23396417370093703,0.4312056737588652
sentiment,baseline,majority_class,mixed_noise,changed_only,>1.30,368,152,0.5869565217391305,2.6847826086956523,0.29544514965710617,0.4130434782608695
sentiment,baseline,majority_class,mixed_noise,full,<0.95,27,24,0.1111111111111111,-1.0,0.30673043050924026,0.8888888888888888
sentiment,baseline,majority_class,mixed_noise,full,0.95-1.00,748,372,0.5026737967914439,-0.016042780748663103,0.20130092819524362,0.49732620320855614
sentiment,baseline,majority_class,mixed_noise,full,1.00-1.05,245,185,0.24489795918367346,1.1183673469387756,0.1092325191071299,0.7551020408163265
sentiment,baseline,majority_class,mixed_noise,full,1.05-1.15,1073,539,0.4976700838769804,1.505125815470643,0.18824386563483422,0.5023299161230196
sentiment,baseline,majority_class,mixed_noise,full,1.15-1.30,705,304,0.5687943262411348,2.1333333333333333,0.23396417370093703,0.4312056737588652
sentiment,baseline,majority_class,mixed_noise,full,>1.30,368,152,0.5869565217391305,2.6847826086956523,0.29544514965710617,0.4130434782608695
sentiment,baseline,majority_class,no_accent,changed_only,<0.95,7,2,0.7142857142857143,-1.1428571428571428,0.6323652537938252,0.2857142857142857
sentiment,baseline,majority_class,no_accent,changed_only,0.95-1.00,238,119,0.5,0.0,0.6635819246113364,0.5
sentiment,baseline,majority_class,no_accent,changed_only,1.00-1.05,9,5,0.4444444444444444,1.1111111111111112,0.6552206872522154,0.5555555555555556
sentiment,baseline,majority_class,no_accent,changed_only,1.05-1.15,526,248,0.5285171102661597,1.55893536121673,0.7385578248582306,0.47148288973384034
sentiment,baseline,majority_class,no_accent,changed_only,1.15-1.30,1530,768,0.4980392156862745,3.7777777777777777,0.7645655913424739,0.5019607843137255
sentiment,baseline,majority_class,no_accent,changed_only,>1.30,852,432,0.49295774647887325,5.315727699530516,0.791244819685298,0.5070422535211268
sentiment,baseline,majority_class,no_accent,full,<0.95,7,2,0.7142857142857143,-1.1428571428571428,0.6323652537938252,0.2857142857142857
sentiment,baseline,majority_class,no_accent,full,0.95-1.00,242,121,0.5,0.0,0.6526136283367688,0.5
sentiment,baseline,majority_class,no_accent,full,1.00-1.05,9,5,0.4444444444444444,1.1111111111111112,0.6552206872522154,0.5555555555555556
sentiment,baseline,majority_class,no_accent,full,1.05-1.15,526,248,0.5285171102661597,1.55893536121673,0.7385578248582306,0.47148288973384034
sentiment,baseline,majority_class,no_accent,full,1.15-1.30,1530,768,0.4980392156862745,3.7777777777777777,0.7645655913424739,0.5019607843137255
sentiment,baseline,majority_class,no_accent,full,>1.30,852,432,0.49295774647887325,5.315727699530516,0.791244819685298,0.5070422535211268
sentiment,baseline,majority_class,teencode_colloquial,changed_only,0.95-1.00,1010,505,0.5,0.0,0.09786012852223808,0.5
sentiment,baseline,majority_class,teencode_colloquial,changed_only,1.00-1.05,176,127,0.2784090909090909,1.0113636363636365,0.059510085514269735,0.7215909090909092
sentiment,baseline,majority_class,teencode_colloquial,changed_only,1.05-1.15,308,174,0.43506493506493504,1.0584415584415585,0.10901657561705641,0.564935064935065
sentiment,baseline,majority_class,teencode_colloquial,changed_only,1.15-1.30,42,25,0.40476190476190477,1.2142857142857142,0.20453395810538666,0.5952380952380952
sentiment,baseline,majority_class,teencode_colloquial,changed_only,>1.30,5,3,0.4,1.4,0.3333333333333333,0.6
sentiment,baseline,majority_class,teencode_colloquial,full,0.95-1.00,2635,1247,0.5267552182163188,0.0,0.037509954386133,0.47324478178368123
sentiment,baseline,majority_class,teencode_colloquial,full,1.00-1.05,176,127,0.2784090909090909,1.0113636363636365,0.059510085514269735,0.7215909090909092
sentiment,baseline,majority_class,teencode_colloquial,full,1.05-1.15,308,174,0.43506493506493504,1.0584415584415585,0.10901657561705641,0.564935064935065
sentiment,baseline,majority_class,teencode_colloquial,full,1.15-1.30,42,25,0.40476190476190477,1.2142857142857142,0.20453395810538666,0.5952380952380952
sentiment,baseline,majority_class,teencode_colloquial,full,>1.30,5,3,0.4,1.4,0.3333333333333333,0.6
sentiment,baseline,majority_class,typo,changed_only,<0.95,4,3,0.25,-1.25,0.1352272727272727,0.75
sentiment,baseline,majority_class,typo,changed_only,0.95-1.00,1414,706,0.5007072135785007,-0.0014144271570014145,0.09829612323208958,0.4992927864214993
sentiment,baseline,majority_class,typo,changed_only,1.00-1.05,343,240,0.30029154518950435,1.0029154518950438,0.03718463211327296,0.6997084548104957
sentiment,baseline,majority_class,typo,changed_only,1.05-1.15,1072,465,0.566231343283582,1.017723880597015,0.09471983914765347,0.43376865671641796
sentiment,baseline,majority_class,typo,changed_only,1.15-1.30,214,102,0.5233644859813084,1.0700934579439252,0.1864375759235572,0.47663551401869164
sentiment,baseline,majority_class,typo,changed_only,>1.30,27,15,0.4444444444444444,1.1481481481481481,0.32962962962962966,0.5555555555555556
sentiment,baseline,majority_class,typo,full,<0.95,4,3,0.25,-1.25,0.1352272727272727,0.75
sentiment,baseline,majority_class,typo,full,0.95-1.00,1506,751,0.50132802124834,-0.0013280212483399733,0.09229131357913324,0.49867197875166
sentiment,baseline,majority_class,typo,full,1.00-1.05,343,240,0.30029154518950435,1.0029154518950438,0.03718463211327296,0.6997084548104957
sentiment,baseline,majority_class,typo,full,1.05-1.15,1072,465,0.566231343283582,1.017723880597015,0.09471983914765347,0.43376865671641796
sentiment,baseline,majority_class,typo,full,1.15-1.30,214,102,0.5233644859813084,1.0700934579439252,0.1864375759235572,0.47663551401869164
sentiment,baseline,majority_class,typo,full,>1.30,27,15,0.4444444444444444,1.1481481481481481,0.32962962962962966,0.5555555555555556
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,<0.95,159,22,0.8616352201257862,-1.10062893081761,0.24537329090978907,0.1383647798742138
sentiment,baseline,tfidf_char_svm,domain_abbreviation,changed_only,0.95-1.00,1371,144,0.8949671772428884,-0.06856309263311451,0.17990070966663912,0.10503282275711157
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,<0.95,159,22,0.8616352201257862,-1.10062893081761,0.24537329090978907,0.1383647798742138
sentiment,baseline,tfidf_char_svm,domain_abbreviation,full,0.95-1.00,3007,374,0.8756235450615231,-0.03126039241769205,0.08202323676520194,0.12437645493847693
sentiment,baseline,tfidf_char_svm,elongation,changed_only,0.95-1.00,3,2,0.3333333333333333,0.0,0.0681964573268921,0.6666666666666667
sentiment,baseline,tfidf_char_svm,elongation,changed_only,1.00-1.05,173,15,0.9132947976878613,1.4971098265895955,0.030249054721375367,0.08670520231213874
sentiment,baseline,tfidf_char_svm,elongation,changed_only,1.05-1.15,1164,151,0.8702749140893471,1.8565292096219932,0.062047424151203706,0.1297250859106529
sentiment,baseline,tfidf_char_svm,elongation,changed_only,1.15-1.30,1150,149,0.8704347826086957,2.210434782608696,0.10616817465225728,0.12956521739130433
sentiment,baseline,tfidf_char_svm,elongation,changed_only,>1.30,674,71,0.8946587537091988,2.6409495548961424,0.18211397076382235,0.10534124629080122
sentiment,baseline,tfidf_char_svm,elongation,full,0.95-1.00,5,2,0.6,0.0,0.04091787439613526,0.4
sentiment,baseline,tfidf_char_svm,elongation,full,1.00-1.05,173,15,0.9132947976878613,1.4971098265895955,0.030249054721375367,0.08670520231213874
sentiment,baseline,tfidf_char_svm,elongation,full,1.05-1.15,1164,151,0.8702749140893471,1.8565292096219932,0.062047424151203706,0.1297250859106529
sentiment,baseline,tfidf_char_svm,elongation,full,1.15-1.30,1150,149,0.8704347826086957,2.210434782608696,0.10616817465225728,0.12956521739130433
sentiment,baseline,tfidf_char_svm,elongation,full,>1.30,674,71,0.8946587537091988,2.6409495548961424,0.18211397076382235,0.10534124629080122
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,<0.95,27,6,0.7777777777777778,-1.0,0.30673043050924026,0.2222222222222222
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,0.95-1.00,717,108,0.8493723849372385,-0.016736401673640166,0.21000431560675348,0.15062761506276146
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,1.00-1.05,245,37,0.8489795918367347,1.1183673469387756,0.1092325191071299,0.15102040816326534
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,1.05-1.15,1073,171,0.8406337371854613,1.505125815470643,0.18824386563483422,0.1593662628145387
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,1.15-1.30,705,131,0.8141843971631205,2.1333333333333333,0.23396417370093703,0.18581560283687948
sentiment,baseline,tfidf_char_svm,mixed_noise,changed_only,>1.30,368,54,0.8532608695652174,2.6847826086956523,0.29544514965710617,0.1467391304347826
sentiment,baseline,tfidf_char_svm,mixed_noise,full,<0.95,27,6,0.7777777777777778,-1.0,0.30673043050924026,0.2222222222222222
sentiment,baseline,tfidf_char_svm,mixed_noise,full,0.95-1.00,748,115,0.8462566844919787,-0.016042780748663103,0.20130092819524362,0.15374331550802134
sentiment,baseline,tfidf_char_svm,mixed_noise,full,1.00-1.05,245,37,0.8489795918367347,1.1183673469387756,0.1092325191071299,0.15102040816326534
sentiment,baseline,tfidf_char_svm,mixed_noise,full,1.05-1.15,1073,171,0.8406337371854613,1.505125815470643,0.18824386563483422,0.1593662628145387
sentiment,baseline,tfidf_char_svm,mixed_noise,full,1.15-1.30,705,131,0.8141843971631205,2.1333333333333333,0.23396417370093703,0.18581560283687948
sentiment,baseline,tfidf_char_svm,mixed_noise,full,>1.30,368,54,0.8532608695652174,2.6847826086956523,0.29544514965710617,0.1467391304347826
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,<0.95,7,3,0.5714285714285714,-1.1428571428571428,0.6323652537938252,0.4285714285714286
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,0.95-1.00,238,125,0.47478991596638653,0.0,0.6635819246113364,0.5252100840336135
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,1.00-1.05,9,4,0.5555555555555556,1.1111111111111112,0.6552206872522154,0.4444444444444444
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,1.05-1.15,526,286,0.45627376425855515,1.55893536121673,0.7385578248582306,0.5437262357414449
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,1.15-1.30,1530,806,0.47320261437908495,3.7777777777777777,0.7645655913424739,0.526797385620915
sentiment,baseline,tfidf_char_svm,no_accent,changed_only,>1.30,852,478,0.43896713615023475,5.315727699530516,0.791244819685298,0.5610328638497653
sentiment,baseline,tfidf_char_svm,no_accent,full,<0.95,7,3,0.5714285714285714,-1.1428571428571428,0.6323652537938252,0.4285714285714286
sentiment,baseline,tfidf_char_svm,no_accent,full,0.95-1.00,242,127,0.47520661157024796,0.0,0.6526136283367688,0.524793388429752
sentiment,baseline,tfidf_char_svm,no_accent,full,1.00-1.05,9,4,0.5555555555555556,1.1111111111111112,0.6552206872522154,0.4444444444444444
sentiment,baseline,tfidf_char_svm,no_accent,full,1.05-1.15,526,286,0.45627376425855515,1.55893536121673,0.7385578248582306,0.5437262357414449
sentiment,baseline,tfidf_char_svm,no_accent,full,1.15-1.30,1530,806,0.47320261437908495,3.7777777777777777,0.7645655913424739,0.526797385620915
sentiment,baseline,tfidf_char_svm,no_accent,full,>1.30,852,478,0.43896713615023475,5.315727699530516,0.791244819685298,0.5610328638497653
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,0.95-1.00,1010,218,0.7841584158415842,0.0,0.09786012852223808,0.2158415841584158
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1.00-1.05,176,15,0.9147727272727273,1.0113636363636365,0.059510085514269735,0.08522727272727271
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1.05-1.15,308,58,0.8116883116883117,1.0584415584415585,0.10901657561705641,0.18831168831168832
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,1.15-1.30,42,10,0.7619047619047619,1.2142857142857142,0.20453395810538666,0.23809523809523814
sentiment,baseline,tfidf_char_svm,teencode_colloquial,changed_only,>1.30,5,1,0.8,1.4,0.3333333333333333,0.19999999999999996
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,0.95-1.00,2635,421,0.8402277039848197,0.0,0.037509954386133,0.15977229601518028
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,1.00-1.05,176,15,0.9147727272727273,1.0113636363636365,0.059510085514269735,0.08522727272727271
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,1.05-1.15,308,58,0.8116883116883117,1.0584415584415585,0.10901657561705641,0.18831168831168832
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,1.15-1.30,42,10,0.7619047619047619,1.2142857142857142,0.20453395810538666,0.23809523809523814
sentiment,baseline,tfidf_char_svm,teencode_colloquial,full,>1.30,5,1,0.8,1.4,0.3333333333333333,0.19999999999999996
sentiment,baseline,tfidf_char_svm,typo,changed_only,<0.95,4,2,0.5,-1.25,0.1352272727272727,0.5
sentiment,baseline,tfidf_char_svm,typo,changed_only,0.95-1.00,1414,225,0.8408769448373409,-0.0014144271570014145,0.09829612323208958,0.15912305516265912
sentiment,baseline,tfidf_char_svm,typo,changed_only,1.00-1.05,343,43,0.8746355685131195,1.0029154518950438,0.03718463211327296,0.12536443148688048
sentiment,baseline,tfidf_char_svm,typo,changed_only,1.05-1.15,1072,148,0.8619402985074627,1.017723880597015,0.09471983914765347,0.13805970149253732
sentiment,baseline,tfidf_char_svm,typo,changed_only,1.15-1.30,214,40,0.8130841121495327,1.0700934579439252,0.1864375759235572,0.1869158878504673
sentiment,baseline,tfidf_char_svm,typo,changed_only,>1.30,27,8,0.7037037037037037,1.1481481481481481,0.32962962962962966,0.2962962962962963
sentiment,baseline,tfidf_char_svm,typo,full,<0.95,4,2,0.5,-1.25,0.1352272727272727,0.5
sentiment,baseline,tfidf_char_svm,typo,full,0.95-1.00,1506,239,0.8413014608233732,-0.0013280212483399733,0.09229131357913324,0.1586985391766268
sentiment,baseline,tfidf_char_svm,typo,full,1.00-1.05,343,43,0.8746355685131195,1.0029154518950438,0.03718463211327296,0.12536443148688048
sentiment,baseline,tfidf_char_svm,typo,full,1.05-1.15,1072,148,0.8619402985074627,1.017723880597015,0.09471983914765347,0.13805970149253732
sentiment,baseline,tfidf_char_svm,typo,full,1.15-1.30,214,40,0.8130841121495327,1.0700934579439252,0.1864375759235572,0.1869158878504673
sentiment,baseline,tfidf_char_svm,typo,full,>1.30,27,8,0.7037037037037037,1.1481481481481481,0.32962962962962966,0.2962962962962963
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,<0.95,159,16,0.89937106918239,-1.10062893081761,0.24537329090978907,0.10062893081761004
sentiment,baseline,tfidf_word_svm,domain_abbreviation,changed_only,0.95-1.00,1371,126,0.9080962800875274,-0.06856309263311451,0.17990070966663912,0.09190371991247259
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,<0.95,159,16,0.89937106918239,-1.10062893081761,0.24537329090978907,0.10062893081761004
sentiment,baseline,tfidf_word_svm,domain_abbreviation,full,0.95-1.00,3007,323,0.8925839707349518,-0.03126039241769205,0.08202323676520194,0.10741602926504823
sentiment,baseline,tfidf_word_svm,elongation,changed_only,0.95-1.00,3,1,0.6666666666666666,0.0,0.0681964573268921,0.33333333333333337
sentiment,baseline,tfidf_word_svm,elongation,changed_only,1.00-1.05,173,16,0.9075144508670521,1.4971098265895955,0.030249054721375367,0.09248554913294793
sentiment,baseline,tfidf_word_svm,elongation,changed_only,1.05-1.15,1164,131,0.8874570446735395,1.8565292096219932,0.062047424151203706,0.11254295532646053
sentiment,baseline,tfidf_word_svm,elongation,changed_only,1.15-1.30,1150,148,0.871304347826087,2.210434782608696,0.10616817465225728,0.128695652173913
sentiment,baseline,tfidf_word_svm,elongation,changed_only,>1.30,674,105,0.844213649851632,2.6409495548961424,0.18211397076382235,0.15578635014836795
sentiment,baseline,tfidf_word_svm,elongation,full,0.95-1.00,5,1,0.8,0.0,0.04091787439613526,0.19999999999999996
sentiment,baseline,tfidf_word_svm,elongation,full,1.00-1.05,173,16,0.9075144508670521,1.4971098265895955,0.030249054721375367,0.09248554913294793
sentiment,baseline,tfidf_word_svm,elongation,full,1.05-1.15,1164,131,0.8874570446735395,1.8565292096219932,0.062047424151203706,0.11254295532646053
sentiment,baseline,tfidf_word_svm,elongation,full,1.15-1.30,1150,148,0.871304347826087,2.210434782608696,0.10616817465225728,0.128695652173913
sentiment,baseline,tfidf_word_svm,elongation,full,>1.30,674,105,0.844213649851632,2.6409495548961424,0.18211397076382235,0.15578635014836795
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,<0.95,27,6,0.7777777777777778,-1.0,0.30673043050924026,0.2222222222222222
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,0.95-1.00,717,90,0.8744769874476988,-0.016736401673640166,0.21000431560675348,0.12552301255230125
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,1.00-1.05,245,30,0.8775510204081632,1.1183673469387756,0.1092325191071299,0.12244897959183676
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,1.05-1.15,1073,156,0.8546132339235788,1.505125815470643,0.18824386563483422,0.1453867660764212
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,1.15-1.30,705,123,0.825531914893617,2.1333333333333333,0.23396417370093703,0.174468085106383
sentiment,baseline,tfidf_word_svm,mixed_noise,changed_only,>1.30,368,78,0.7880434782608695,2.6847826086956523,0.29544514965710617,0.2119565217391305
sentiment,baseline,tfidf_word_svm,mixed_noise,full,<0.95,27,6,0.7777777777777778,-1.0,0.30673043050924026,0.2222222222222222
sentiment,baseline,tfidf_word_svm,mixed_noise,full,0.95-1.00,748,97,0.8703208556149733,-0.016042780748663103,0.20130092819524362,0.1296791443850267
sentiment,baseline,tfidf_word_svm,mixed_noise,full,1.00-1.05,245,30,0.8775510204081632,1.1183673469387756,0.1092325191071299,0.12244897959183676
sentiment,baseline,tfidf_word_svm,mixed_noise,full,1.05-1.15,1073,156,0.8546132339235788,1.505125815470643,0.18824386563483422,0.1453867660764212
sentiment,baseline,tfidf_word_svm,mixed_noise,full,1.15-1.30,705,123,0.825531914893617,2.1333333333333333,0.23396417370093703,0.174468085106383
sentiment,baseline,tfidf_word_svm,mixed_noise,full,>1.30,368,78,0.7880434782608695,2.6847826086956523,0.29544514965710617,0.2119565217391305
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,<0.95,7,2,0.7142857142857143,-1.1428571428571428,0.6323652537938252,0.2857142857142857
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,0.95-1.00,238,121,0.49159663865546216,0.0,0.6635819246113364,0.5084033613445378
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,1.00-1.05,9,4,0.5555555555555556,1.1111111111111112,0.6552206872522154,0.4444444444444444
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,1.05-1.15,526,306,0.41825095057034223,1.55893536121673,0.7385578248582306,0.5817490494296578
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,1.15-1.30,1530,896,0.4143790849673203,3.7777777777777777,0.7645655913424739,0.5856209150326797
sentiment,baseline,tfidf_word_svm,no_accent,changed_only,>1.30,852,547,0.357981220657277,5.315727699530516,0.791244819685298,0.642018779342723
sentiment,baseline,tfidf_word_svm,no_accent,full,<0.95,7,2,0.7142857142857143,-1.1428571428571428,0.6323652537938252,0.2857142857142857
sentiment,baseline,tfidf_word_svm,no_accent,full,0.95-1.00,242,123,0.49173553719008267,0.0,0.6526136283367688,0.5082644628099173
sentiment,baseline,tfidf_word_svm,no_accent,full,1.00-1.05,9,4,0.5555555555555556,1.1111111111111112,0.6552206872522154,0.4444444444444444
