id,noise_type,original_text,noisy_text,normalized_text,sentiment_label,topic_label,normalization_changed,num_normalization_replacements,normalization_spans
test_1,domain_abbreviation,giáo viên rất vui tính .,gv rất vui tính .,giảng viên rất vui tính .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_4,domain_abbreviation,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .","gv không giảng dạy kiến thức , hướng dẫn th trong quá trình học .","giảng viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",negative,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}, {""rule"": ""domain_abbreviation"", ""source"": ""th"", ""target"": ""thực hành"", ""start_char"": 49, ""end_char"": 51, ""matched_text"": ""th""}]"
test_7,domain_abbreviation,thầy nhiệt tình giảng lại cho học sinh .,thầy nhiệt tình giảng lại cho hs .,thầy nhiệt tình giảng lại cho học sinh .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""hs"", ""target"": ""học sinh"", ""start_char"": 30, ""end_char"": 32, ""matched_text"": ""hs""}]"
test_8,domain_abbreviation,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,có đôi lúc nói hơi nhanh làm sv không theo kịp .,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,negative,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 29, ""end_char"": 31, ""matched_text"": ""sv""}]"
test_9,domain_abbreviation,"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sv tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 65, ""end_char"": 67, ""matched_text"": ""sv""}]"
test_10,domain_abbreviation,giảng viên nhiệt tình trong công tác giảng dạy .,gv nhiệt tình trong công tác giảng dạy .,giảng viên nhiệt tình trong công tác giảng dạy .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_13,domain_abbreviation,sinh viên không tiếp thu kịp cũng như không hiểu gì .,sv không tiếp thu kịp cũng như không hiểu gì .,sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,training_program,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""sv""}]"
test_14,domain_abbreviation,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,thầy nhiệt tình giúp đỡ sv trong quá trình th .,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,positive,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 24, ""end_char"": 26, ""matched_text"": ""sv""}, {""rule"": ""domain_abbreviation"", ""source"": ""th"", ""target"": ""thực hành"", ""start_char"": 50, ""end_char"": 52, ""matched_text"": ""th""}]"
test_15,domain_abbreviation,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,thầy rất tận tình và giúp đỡ sv rất nhiều .,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 29, ""end_char"": 31, ""matched_text"": ""sv""}]"
test_16,domain_abbreviation,giảng viên giải thích kỹ và chi tiết .,gv giải thích kỹ và chi tiết .,giảng viên giải thích kỹ và chi tiết .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_17,domain_abbreviation,"thầy dạy rất chi tiết , lý thuyết đầy đủ .","thầy dạy rất chi tiết , lt đầy đủ .","thầy dạy rất chi tiết , lý thuyết đầy đủ .",positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""lt"", ""target"": ""lý thuyết"", ""start_char"": 24, ""end_char"": 26, ""matched_text"": ""lt""}]"
test_22,domain_abbreviation,"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .","gv nhiệt tình , giải đáp thắc mắc đầy đủ .","giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_23,domain_abbreviation,nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,nên đưa ra một vài phương pháp học lập trình hay cho sv .,nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,negative,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 53, ""end_char"": 55, ""matched_text"": ""sv""}]"
test_24,domain_abbreviation,giảng viên dạy sôi nổi .,gv dạy sôi nổi .,giảng viên dạy sôi nổi .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_25,domain_abbreviation,em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,em học bên chất lượng cao mà pm không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,em học bên chất lượng cao mà phòng máy không cung cấp đủ máy ( vì máy hư hoặc không cài chương trình ) .,negative,facility,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""pm"", ""target"": ""phòng máy"", ""start_char"": 29, ""end_char"": 31, ""matched_text"": ""pm""}]"
test_27,domain_abbreviation,cách mà cô tiếp cận với sinh viên .,cách mà cô tiếp cận với sv .,cách mà cô tiếp cận với sinh viên .,neutral,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 24, ""end_char"": 26, ""matched_text"": ""sv""}]"
test_28,domain_abbreviation,"trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .","trợ giàng nhiệt tình , quan tâm và theo sát sv .","trợ giàng nhiệt tình , quan tâm và theo sát sinh viên .",positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 44, ""end_char"": 46, ""matched_text"": ""sv""}]"
test_29,domain_abbreviation,"giảng viên tận tâm , gần gũi với học sinh .","gv tận tâm , gần gũi với hs .","giảng viên tận tâm , gần gũi với học sinh .",positive,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}, {""rule"": ""domain_abbreviation"", ""source"": ""hs"", ""target"": ""học sinh"", ""start_char"": 33, ""end_char"": 35, ""matched_text"": ""hs""}]"
test_31,domain_abbreviation,"phòng học thoáng mát , trang thiết bị đầy đủ .","ph thoáng mát , trang thiết bị đầy đủ .","phòng học thoáng mát , trang thiết bị đầy đủ .",positive,facility,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""ph"", ""target"": ""phòng học"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""ph""}]"
test_33,domain_abbreviation,không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sv .,không nhiệt tình chỉ dẫn và luôn gây khó khăn cho sinh viên .,negative,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 50, ""end_char"": 52, ""matched_text"": ""sv""}]"
test_0,elongation,nói tiếng anh lưu loát .,nóiii tiếng anh lưu loát .,nói tiếng anh lưu loát .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""iii"", ""target"": ""i"", ""start_char"": 2, ""end_char"": 5, ""matched_text"": ""iii""}]"
test_1,elongation,giáo viên rất vui tính .,giáo viênnn rất vui tính .,giáo viên rất vui tính .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""nnn"", ""target"": ""n"", ""start_char"": 8, ""end_char"": 11, ""matched_text"": ""nnn""}]"
test_2,elongation,cô max có tâm .,cô maxxx có tâm .,cô max có tâm .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""xxx"", ""target"": ""x"", ""start_char"": 5, ""end_char"": 8, ""matched_text"": ""xxx""}]"
test_3,elongation,"giảng bài thu hút , dí dỏm .","giảnggg bài thu hút , dí dỏm .","giảng bài thu hút , dí dỏm .",positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ggg"", ""target"": ""g"", ""start_char"": 4, ""end_char"": 7, ""matched_text"": ""ggg""}]"
test_4,elongation,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .","giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trìnhhh học .","giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",negative,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""hhh"", ""target"": ""h"", ""start_char"": 72, ""end_char"": 75, ""matched_text"": ""hhh""}]"
test_5,elongation,thầy dạy nhiệt tình và tâm huyết .,thầy dạy nhiệttt tình và tâm huyết .,thầy dạy nhiệt tình và tâm huyết .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ttt"", ""target"": ""t"", ""start_char"": 13, ""end_char"": 16, ""matched_text"": ""ttt""}]"
test_6,elongation,tính điểm thi đua các nhóm .,tính điểm thi đuaaa các nhóm .,tính điểm thi đua các nhóm .,positive,training_program,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""aaa"", ""target"": ""a"", ""start_char"": 16, ""end_char"": 19, ""matched_text"": ""aaa""}]"
test_7,elongation,thầy nhiệt tình giảng lại cho học sinh .,thầyyy nhiệt tình giảng lại cho học sinh .,thầy nhiệt tình giảng lại cho học sinh .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""yyy"", ""target"": ""y"", ""start_char"": 3, ""end_char"": 6, ""matched_text"": ""yyy""}]"
test_8,elongation,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,có đôi lúc nói hơi nhanh làm sinh viênnn không theo kịp .,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,negative,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""nnn"", ""target"": ""n"", ""start_char"": 37, ""end_char"": 40, ""matched_text"": ""nnn""}]"
test_9,elongation,"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khááá nhiều , tương tác với sinh viên tương đối tốt .","giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ááá"", ""target"": ""á"", ""start_char"": 41, ""end_char"": 44, ""matched_text"": ""ááá""}]"
test_10,elongation,giảng viên nhiệt tình trong công tác giảng dạy .,giảng viên nhiệt tìnhhh trong công tác giảng dạy .,giảng viên nhiệt tình trong công tác giảng dạy .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""hhh"", ""target"": ""h"", ""start_char"": 20, ""end_char"": 23, ""matched_text"": ""hhh""}]"
test_11,elongation,"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .","cô rất nhiệttt tình , dễ thương , dạy dễ hiểu .","cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ttt"", ""target"": ""t"", ""start_char"": 11, ""end_char"": 14, ""matched_text"": ""ttt""}]"
test_12,elongation,trong trường macbook thầy số hai thì không có máy nào số một .,trong trườnggg macbook thầy số hai thì không có máy nào số một .,trong trường macbook thầy số hai thì không có máy nào số một .,positive,others,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ggg"", ""target"": ""g"", ""start_char"": 11, ""end_char"": 14, ""matched_text"": ""ggg""}]"
test_13,elongation,sinh viên không tiếp thu kịp cũng như không hiểu gì .,sinh viên không tiếp thuuu kịp cũng như không hiểu gì .,sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,training_program,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""uuu"", ""target"": ""u"", ""start_char"": 23, ""end_char"": 26, ""matched_text"": ""uuu""}]"
test_14,elongation,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,thầy nhiệt tìnhhh giúp đỡ sinh viên trong quá trình thực hành .,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""hhh"", ""target"": ""h"", ""start_char"": 14, ""end_char"": 17, ""matched_text"": ""hhh""}]"
test_15,elongation,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,thầy rất tận tình và giúp đỡ sinhhh viên rất nhiều .,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""hhh"", ""target"": ""h"", ""start_char"": 32, ""end_char"": 35, ""matched_text"": ""hhh""}]"
test_16,elongation,giảng viên giải thích kỹ và chi tiết .,giảng viênnn giải thích kỹ và chi tiết .,giảng viên giải thích kỹ và chi tiết .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""nnn"", ""target"": ""n"", ""start_char"": 9, ""end_char"": 12, ""matched_text"": ""nnn""}]"
test_17,elongation,"thầy dạy rất chi tiết , lý thuyết đầy đủ .","thầy dạy rất chiii tiết , lý thuyết đầy đủ .","thầy dạy rất chi tiết , lý thuyết đầy đủ .",positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""iii"", ""target"": ""i"", ""start_char"": 15, ""end_char"": 18, ""matched_text"": ""iii""}]"
test_18,elongation,"còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .","còn những phần tìm bao đóng , chứng minh dạng chuẩnnn chưa làm rõ .","còn những phần tìm bao đóng , chứng minh dạng chuẩn chưa làm rõ .",negative,training_program,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""nnn"", ""target"": ""n"", ""start_char"": 50, ""end_char"": 53, ""matched_text"": ""nnn""}]"
test_19,elongation,cung cấp kiến thức bổ ích .,cung cấppp kiến thức bổ ích .,cung cấp kiến thức bổ ích .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ppp"", ""target"": ""p"", ""start_char"": 7, ""end_char"": 10, ""matched_text"": ""ppp""}]"
test_0,mixed_noise,nói tiếng anh lưu loát .,nói tiếng anh lưuuu loát .,nói tiếng anh lưu loát .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""uuu"", ""target"": ""u"", ""start_char"": 16, ""end_char"": 19, ""matched_text"": ""uuu""}]"
test_1,mixed_noise,giáo viên rất vui tính .,gv r vuiii tính .,giảng viên rất vui tính .,positive,lecturer,True,3,"[{""rule"": ""reduce_elongation"", ""source"": ""iii"", ""target"": ""i"", ""start_char"": 7, ""end_char"": 10, ""matched_text"": ""iii""}, {""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}, {""rule"": ""teencode"", ""source"": ""r"", ""target"": ""rất"", ""start_char"": 11, ""end_char"": 12, ""matched_text"": ""r""}]"
test_3,mixed_noise,"giảng bài thu hút , dí dỏm .","giảng bài thu húttt , dí dỏm .","giảng bài thu hút , dí dỏm .",positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ttt"", ""target"": ""t"", ""start_char"": 16, ""end_char"": 19, ""matched_text"": ""ttt""}]"
test_4,mixed_noise,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .","gv k giảnggg dạy kiến thức , hướng dẫn thực hành trong quá trình học .","giảng viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .",negative,lecturer,True,3,"[{""rule"": ""reduce_elongation"", ""source"": ""ggg"", ""target"": ""g"", ""start_char"": 9, ""end_char"": 12, ""matched_text"": ""ggg""}, {""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}, {""rule"": ""teencode"", ""source"": ""k"", ""target"": ""không"", ""start_char"": 11, ""end_char"": 12, ""matched_text"": ""k""}]"
test_7,mixed_noise,thầy nhiệt tình giảng lại cho học sinh .,thầy nhiệt tìnhhh giảng lại cho hs .,thầy nhiệt tình giảng lại cho học sinh .,positive,lecturer,True,2,"[{""rule"": ""reduce_elongation"", ""source"": ""hhh"", ""target"": ""h"", ""start_char"": 14, ""end_char"": 17, ""matched_text"": ""hhh""}, {""rule"": ""domain_abbreviation"", ""source"": ""hs"", ""target"": ""học sinh"", ""start_char"": 30, ""end_char"": 32, ""matched_text"": ""hs""}]"
test_8,mixed_noise,có đôi lúc nói hơi nhanh làm sinh viên không theo kịp .,có đôi lúc nói hơi nhnah làm sv k theo kịp .,có đôi lúc nói hơi nhnah làm sinh viên không theo kịp .,negative,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 29, ""end_char"": 31, ""matched_text"": ""sv""}, {""rule"": ""teencode"", ""source"": ""k"", ""target"": ""không"", ""start_char"": 39, ""end_char"": 40, ""matched_text"": ""k""}]"
test_9,mixed_noise,"giảng dạy nhiệt tình , liên hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .","giảng dạy nhiệt tình , lien hệ thực tế khá nhìu , tương tác với sv tương đối tốt .","giảng dạy nhiệt tình , lien hệ thực tế khá nhiều , tương tác với sinh viên tương đối tốt .",positive,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 64, ""end_char"": 66, ""matched_text"": ""sv""}, {""rule"": ""teencode"", ""source"": ""nhìu"", ""target"": ""nhiều"", ""start_char"": 43, ""end_char"": 47, ""matched_text"": ""nhìu""}]"
test_10,mixed_noise,giảng viên nhiệt tình trong công tác giảng dạy .,gv nhiệt tình trong công tác giảnggg dạy .,giảng viên nhiệt tình trong công tác giảng dạy .,positive,lecturer,True,2,"[{""rule"": ""reduce_elongation"", ""source"": ""ggg"", ""target"": ""g"", ""start_char"": 33, ""end_char"": 36, ""matched_text"": ""ggg""}, {""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_11,mixed_noise,"cô rất nhiệt tình , dễ thương , dạy dễ hiểu .","cô r nhiệt tình , dễ thương , dạyyy dễ hiểu .","cô rất nhiệt tình , dễ thương , dạy dễ hiểu .",positive,lecturer,True,2,"[{""rule"": ""reduce_elongation"", ""source"": ""yyy"", ""target"": ""y"", ""start_char"": 32, ""end_char"": 35, ""matched_text"": ""yyy""}, {""rule"": ""teencode"", ""source"": ""r"", ""target"": ""rất"", ""start_char"": 3, ""end_char"": 4, ""matched_text"": ""r""}]"
test_12,mixed_noise,trong trường macbook thầy số hai thì không có máy nào số một .,trong trường macbook thay số hai thì k có máy nào số một .,trong trường macbook thay số hai thì không có máy nào số một .,positive,others,True,1,"[{""rule"": ""teencode"", ""source"": ""k"", ""target"": ""không"", ""start_char"": 37, ""end_char"": 38, ""matched_text"": ""k""}]"
test_13,mixed_noise,sinh viên không tiếp thu kịp cũng như không hiểu gì .,sv ko tiếp thu kịp cũng như khong hiểu gì .,sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,training_program,True,3,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""sv""}, {""rule"": ""teencode"", ""source"": ""khong"", ""target"": ""không"", ""start_char"": 35, ""end_char"": 40, ""matched_text"": ""khong""}, {""rule"": ""teencode"", ""source"": ""ko"", ""target"": ""không"", ""start_char"": 10, ""end_char"": 12, ""matched_text"": ""ko""}]"
test_14,mixed_noise,thầy nhiệt tình giúp đỡ sinh viên trong quá trình thực hành .,thầy nhiệt tình giup đỡ sv trong quá trình thực hành .,thầy nhiệt tình giup đỡ sinh viên trong quá trình thực hành .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 24, ""end_char"": 26, ""matched_text"": ""sv""}]"
test_15,mixed_noise,thầy rất tận tình và giúp đỡ sinh viên rất nhiều .,thầy r tận tinh và giúp đỡ sv rất nhiều .,thầy rất tận tinh và giúp đỡ sinh viên rất nhiều .,positive,lecturer,True,2,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 27, ""end_char"": 29, ""matched_text"": ""sv""}, {""rule"": ""teencode"", ""source"": ""r"", ""target"": ""rất"", ""start_char"": 5, ""end_char"": 6, ""matched_text"": ""r""}]"
test_16,mixed_noise,giảng viên giải thích kỹ và chi tiết .,gv giải thich kỹ và chi tiết .,giảng viên giải thich kỹ và chi tiết .,positive,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_17,mixed_noise,"thầy dạy rất chi tiết , lý thuyết đầy đủ .","thầy dạy r chi tiếttt , lt đầy đủ .","thầy dạy rất chi tiết , lý thuyết đầy đủ .",positive,lecturer,True,3,"[{""rule"": ""reduce_elongation"", ""source"": ""ttt"", ""target"": ""t"", ""start_char"": 18, ""end_char"": 21, ""matched_text"": ""ttt""}, {""rule"": ""domain_abbreviation"", ""source"": ""lt"", ""target"": ""lý thuyết"", ""start_char"": 22, ""end_char"": 24, ""matched_text"": ""lt""}, {""rule"": ""teencode"", ""source"": ""r"", ""target"": ""rất"", ""start_char"": 9, ""end_char"": 10, ""matched_text"": ""r""}]"
test_19,mixed_noise,cung cấp kiến thức bổ ích .,cung cấp kiếnnn thức bổ ích .,cung cấp kiến thức bổ ích .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""nnn"", ""target"": ""n"", ""start_char"": 12, ""end_char"": 15, ""matched_text"": ""nnn""}]"
test_20,mixed_noise,bắt đầu buổi học đúng giờ .,bắt đầuuu buổi học đúng giờ .,bắt đầu buổi học đúng giờ .,positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""uuu"", ""target"": ""u"", ""start_char"": 6, ""end_char"": 9, ""matched_text"": ""uuu""}]"
test_21,mixed_noise,"giảng dạy dễ hiểu , tận tâm !","giảnggg dạy dễ hiểu , tận tâm !","giảng dạy dễ hiểu , tận tâm !",positive,lecturer,True,1,"[{""rule"": ""reduce_elongation"", ""source"": ""ggg"", ""target"": ""g"", ""start_char"": 4, ""end_char"": 7, ""matched_text"": ""ggg""}]"
test_22,mixed_noise,"giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .","gv nhiệt tình , giải đáp thắc mắccc đầy đủ .","giảng viên nhiệt tình , giải đáp thắc mắc đầy đủ .",positive,lecturer,True,2,"[{""rule"": ""reduce_elongation"", ""source"": ""ccc"", ""target"": ""c"", ""start_char"": 32, ""end_char"": 35, ""matched_text"": ""ccc""}, {""rule"": ""domain_abbreviation"", ""source"": ""gv"", ""target"": ""giảng viên"", ""start_char"": 0, ""end_char"": 2, ""matched_text"": ""gv""}]"
test_23,mixed_noise,nên đưa ra một vài phương pháp học lập trình hay cho sinh viên .,nên đưa ra một vài phuơng pháp học lập trình hay cho sv .,nên đưa ra một vài phuơng pháp học lập trình hay cho sinh viên .,negative,lecturer,True,1,"[{""rule"": ""domain_abbreviation"", ""source"": ""sv"", ""target"": ""sinh viên"", ""start_char"": 53, ""end_char"": 55, ""matched_text"": ""sv""}]"
test_1,no_accent,giáo viên rất vui tính .,giao vien rat vui tinh .,giáo viên rat vui tinh .,positive,lecturer,True,1,"[{""rule"": ""no_accent_phrase"", ""source"": ""giao vien"", ""target"": ""giáo viên"", ""start_char"": 0, ""end_char"": 9, ""matched_text"": ""giao vien""}]"
test_4,no_accent,"giáo viên không giảng dạy kiến thức , hướng dẫn thực hành trong quá trình học .","giao vien khong giang day kien thuc , huong dan thuc hanh trong qua trinh hoc .","giáo viên không giang day kien thuc , huong dan thực hành trong qua trinh hoc .",negative,lecturer,True,3,"[{""rule"": ""teencode"", ""source"": ""khong"", ""target"": ""không"", ""start_char"": 10, ""end_char"": 15, ""matched_text"": ""khong""}, {""rule"": ""no_accent_phrase"", ""source"": ""giao vien"", ""target"": ""giáo viên"", ""start_char"": 0, ""end_char"": 9, ""matched_text"": ""giao vien""}, {""rule"": ""no_accent_phrase"", ""source"": ""thuc hanh"", ""target"": ""thực hành"", ""start_char"": 48, ""end_char"": 57, ""matched_text"": ""thuc hanh""}]"
test_5,no_accent,thầy dạy nhiệt tình và tâm huyết .,thay day nhiet tinh va tam huyet .,thay day nhiệt tình va tam huyet .,positive,lecturer,True,1,"[{""rule"": ""no_accent_phrase"", ""source"": ""nhiet tinh"", ""target"": ""nhiệt tình"", ""start_char"": 9, ""end_char"": 19, ""matched_text"": ""nhiet tinh""}]"
